Distrito;RMH;PMm²Zona;PMZona
Ajalvir;40309.0;2021.15;232225.0
Alameda del Valle;31144.0;2564.1;500000.0
Alcalá de Henares;37487.0;2681.07;440344.29
Alcobendas;57962.0;3210.44;380846.08
Alcorcón;36837.0;2379.6;221354.76
Aldea del Fresno;28998.0;1235.46;226000.0
Algete;51371.0;2000.24;676000.0
Alpedrete;44955.0;2315.8;361240.0
Aranjuez;35897.0;1537.09;215122.72
Arganda del Rey;34865.0;1916.51;222275.0
Arganzuela;46699.0;5082.27;468570.0
Arroyomolinos;48247.0;2068.66;357218.18
Barajas;51400.0;3551.23;477500.0
Batres;41241.0;2126.87;285000.0
Becerril de la Sierra;39478.0;1454.55;240000.0
Boadilla del Monte;76685.0;3066.01;1091446.77
Brunete;41736.0;2278.56;418612.5
Buitrago del Lozoya;32356.0;761.08;395000.0
Bustarviejo;32273.000000000004;1229.6;265750.0
Cabanillas de la Sierra;37592.0;1261.93;299000.0
Cadalso de los Vidrios;26755.0;1168.87;128466.67
Camarma de Esteruelas;38662.0;2226.41;314766.67
Campo Real;33749.0;1832.85;487560.0
Carabanchel;32050.0;2777.76;246055.29
Carabaña;26249.0;1117.02;105000.0
Casarrubuelos;36126.0;1524.09;248415.0
Cenicientos;24890.0;699.35;107000.0
Centro;38360.0;6639.78;820074.21
Cercedilla;36353.0;1828.58;316222.22
Chamartín;69670.0;6128.53;1471095.24
Chamberí;56281.0;7863.47;1616817.59
Chinchón;29352.0;1189.39;300565.0
Ciempozuelos;32837.0;1229.03;142381.82
Ciudad Lineal;41311.0;4016.05;404569.14
Cobeña;52328.0;1858.33;615000.0
Collado Mediano;42236.0;1923.71;483857.14
Collado Villalba;36502.0;2115.77;306328.57
Colmenar Viejo;46101.0;2564.12;507866.67
Colmenar de Oreja;28978.0;720.55;197250.0
Colmenarejo;43589.0;2125.15;390211.11
Coslada;37800.0;2668.12;292565.38
Cubas de la Sagra;42106.0;1417.06;360886.67
Daganzo de Arriba;47018.0;2049.92;340100.0
El Boalo;44138.0;2939.32;352000.0
El Escorial;40283.0;2353.78;334026.09
El Molar;32406.0;1738.44;205671.43
El Vellón;29770.0;1522.21;850500.0
El Álamo;32321.0;951.51;359500.0
Estremera;28116.0;335.7;165500.0
Fuencarral-El Pardo;55125.0;4893.34;1235417.65
Fuenlabrada;34016.0;2052.7;204509.83
Fuente el Saz de Jarama;37319.0;1723.89;444466.11
Galapagar;43503.0;2169.33;370148.66
Garganta de los Montes;30832.0;687.5;99000.0
Gargantilla del Lozoya y Pinilla de Buitrago;28606.0;1536.65;250000.0
Getafe;36962.0;2577.14;307364.24
Griñón;44410.0;1536.26;339700.0
Guadalix de la Sierra;35488.0;1892.31;246000.0
Guadarrama;39766.0;2062.55;404631.82
Hortaleza;54316.0;4200.49;682685.09
Hoyo de Manzanares;48145.0;2095.42;626666.67
Humanes de Madrid;32680.0;2134.95;210890.64
La Acebeda;27228.0;618.75;99000.0
La Cabrera;35814.0;1787.95;383333.33
Las Rozas de Madrid;65428.0;3773.82;734591.73
Latina;33790.0;3182.53;296686.5
Leganés;34335.0;2307.17;242575.4
Loeches;37310.0;2095.28;235316.67
Los Molinos;38684.0;1964.31;365980.0
Los Santos de la Humosa;35192.0;1208.33;116000.0
Lozoyuela-Navas-Sieteiglesias;29083.0;1397.97;246857.14
Madrid Capital;;2408.33;289000.0
Majadahonda;66390.0;3809.79;806473.17
Manzanares el Real;38691.0;1867.99;359000.0
Meco;42553.0;2017.34;272592.86
Mejorada del Campo;33819.0;1570.63;366940.0
Miraflores de la Sierra;36547.0;1747.9;323333.33
Moncloa-Aravaca;63205.0;4954.85;1336621.11
Moraleja de Enmedio;39923.0;2007.11;356083.33
Moralzarzal;47630.0;1954.65;448000.0
Morata de Tajuña;30615.0;1426.79;159800.0
Moratalaz;38421.0;3074.19;274876.67
Móstoles;34529.0;2029.47;290766.43
Navacerrada;42412.0;2687.48;700333.33
Navalafuente;32152.0;1547.82;354250.0
Navalcarnero;38093.0;1906.18;258967.62
Navas del Rey;30021.0;1158.94;193333.33
Nuevo Baztán;39201.0;1692.26;301875.0
Paracuellos de Jarama;54713.0;2577.72;525900.0
Parla;30961.0;1864.74;186396.42
Pedrezuela;37099.0;2223.93;370000.0
Pelayos de la Presa;26205.0;965.91;85000.0
Pezuela de las Torres;29766.0;1225.6;184700.0
Pinto;38031.0;1965.48;206292.31
Piñuécar-Gandullas;27556.0;450.0;72000.0
Pozuelo de Alarcón;86403.0;4151.27;1028586.4
Puente de Vallecas;28681.0;2366.13;179978.75
Quijorna;36689.0;1924.63;438333.33
Retiro;57448.0;8661.73;1533912.0
Ribatejada;31379.0;1068.97;93000.0
Rivas-Vaciamadrid;48274.0;2688.94;406000.77
Robledo de Chavela;32886.0;1146.58;263833.33
Salamanca;60217.0;9115.3;1474913.24
San Agustín del Guadalix;54057.0;2550.17;433906.82
San Blas-Canillejas;39321.0;3252.04;381560.93
San Fernando de Henares;36256.0;2450.79;248278.5
San Lorenzo de El Escorial;38927.0;2383.43;449344.0
San Martín de Valdeiglesias;30052.0;972.83;153250.0
San Martín de la Vega;33852.0;1582.78;197380.0
San Sebastián de los Reyes;45647.0;2942.56;820931.96
Serranillos del Valle;41913.0;1422.45;247000.0
Sevilla la Nueva;39156.0;1941.5;325513.57
Soto del Real;49129.0;1219.51;500000.0
Talamanca de Jarama;34277.0;1365.25;200100.0
Tetuán;39991.0;5137.28;675858.33
Titulcia;32282.0;1049.12;299000.0
Torrejón de Ardoz;36317.0;2307.83;320904.52
Torrejón de Velasco;37573.0;1309.66;189900.0
Torrejón de la Calzada;41049.0;1541.07;344560.0
Torrelaguna;33904.0;1473.13;227500.0
Torrelodones;69688.0;2542.62;705857.14
Torremocha de Jarama;36758.0;1500.0;300000.0
Torres de la Alameda;34930.0;1688.31;130000.0
Tres Cantos;59299.0;3460.16;562942.11
Usera;30023.0;2996.8;277223.0
Valdeavero;33583.0;1483.54;202000.0
Valdemanco;31060.0;1370.69;159000.0
Valdemaqueda;25280.0;1127.82;150000.0
Valdemorillo;42527.0;1835.88;426316.67
Valdemoro;39791.0;2079.61;260408.74
Valdeolmos-Alalpardo;45394.0;2491.56;279395.0
Valdetorres de Jarama;36785.0;1420.3;306500.0
Velilla de San Antonio;39657.0;1642.62;252175.0
Venturada;53285.0;3260.87;825000.0
Vicálvaro;37141.0;3123.67;308670.68
Villa de Vallecas;35278.0;3215.7;366900.0
Villa del Prado;30521.0;630.19;296750.0
Villaconejos;27794.0;1311.48;80000.0
Villalbilla;47715.0;2035.92;347533.53
Villanueva de Perales;35569.0;2546.23;269900.0
Villanueva de la Cañada;63085.0;2398.23;780426.67
Villanueva del Pardillo;52958.0;2475.36;378580.0
Villar del Olmo;37894.0;1070.6;295000.0
Villarejo de Salvanés;31258.0;993.28;166800.0
Villaverde;30673.0;2158.77;192952.13
Villaviciosa de Odón;58788.0;2519.64;611624.62
Zarzalejo;27747.0;925.0;99900.0
